date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:36:42	244/244	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2018%20Apr%202021%2016:06:43%20GMT	https://biofit-biofit.com/robots.txt		(from )
21:36:43	63086/63086	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Apr%202021%2004:13:19%20GMT	https://biofit-biofit.com/biofit/	C:/My%20Web%20Sites/biofit%20new/biofit-biofit.com/biofit/index.html	(from )
21:36:44	60099/60099	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Apr%202021%2003:40:26%20GMT	https://biofit-biofit.com/biofit/biofit-mobile.html	C:/My%20Web%20Sites/biofit%20new/biofit-biofit.com/biofit/biofit-mobile.html	(from https://biofit-biofit.com/biofit/)
21:36:46	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2018%20Apr%202021%2016:06:47%20GMT	https://static.ladipage.net/5fa2747be93b1c29f89c713f/rbg/best-seller-logo-png-clip-art-20210323124030.png	C:/My%20Web%20Sites/biofit%20new/static.ladipage.net/5fa2747be93b1c29f89c713f/rbg/best-seller-logo-png-clip-art-20210323124030.1.delayed	(from https://biofit-biofit.com/biofit/)
21:36:49	199910/199910	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2018%20Apr%202021%2016:06:49%20GMT	https://w.ladicdn.com/v2/source/ladipage.vi.min.js?v=1618222921141	C:/My%20Web%20Sites/biofit%20new/w.ladicdn.com/v2/source/ladipage.vi.minba6a.js	(from https://biofit-biofit.com/biofit/)
21:36:51	177120/177120	---MC-	200	added ('OK')	image/png	date:Sun,%2018%20Apr%202021%2016:06:51%20GMT	https://w.ladicdn.com/s1950x1300/5fa2747be93b1c29f89c713f/biofitlanding4-20210413003543.png	C:/My%20Web%20Sites/biofit%20new/w.ladicdn.com/s1950x1300/5fa2747be93b1c29f89c713f/biofitlanding4-20210413003543.png	(from https://biofit-biofit.com/biofit/)
21:36:52	1253836/1253836	---MC-	200	added ('OK')	image/png	date:Sun,%2018%20Apr%202021%2016:06:51%20GMT	https://w.ladicdn.com/s1950x2300/5fa2747be93b1c29f89c713f/biofitlanding-20210412131138.png	C:/My%20Web%20Sites/biofit%20new/w.ladicdn.com/s1950x2300/5fa2747be93b1c29f89c713f/biofitlanding-20210412131138.png	(from https://biofit-biofit.com/biofit/)
21:36:52	65675/65675	---MC-	200	added ('OK')	image/png	date:Sun,%2018%20Apr%202021%2016:06:53%20GMT	https://w.ladicdn.com/s1950x1100/5fa2747be93b1c29f89c713f/biofitlanding6-20210413004453.png	C:/My%20Web%20Sites/biofit%20new/w.ladicdn.com/s1950x1100/5fa2747be93b1c29f89c713f/biofitlanding6-20210413004453.png	(from https://biofit-biofit.com/biofit/)
21:36:53	168999/168999	---MC-	200	added ('OK')	image/png	date:Sun,%2018%20Apr%202021%2016:06:53%20GMT	https://w.ladicdn.com/s1950x1300/5fa2747be93b1c29f89c713f/biofitlanding7-20210413004712.png	C:/My%20Web%20Sites/biofit%20new/w.ladicdn.com/s1950x1300/5fa2747be93b1c29f89c713f/biofitlanding7-20210413004712.png	(from https://biofit-biofit.com/biofit/)
21:36:53	383523/383523	---MC-	200	added ('OK')	image/png	date:Sun,%2018%20Apr%202021%2016:06:53%20GMT	https://w.ladicdn.com/s1950x1800/5fa2747be93b1c29f89c713f/biofitlanding5-20210413003904.png	C:/My%20Web%20Sites/biofit%20new/w.ladicdn.com/s1950x1800/5fa2747be93b1c29f89c713f/biofitlanding5-20210413003904.png	(from https://biofit-biofit.com/biofit/)
21:36:53	149559/149559	---MC-	200	added ('OK')	image/png	date:Sun,%2018%20Apr%202021%2016:06:54%20GMT	https://w.ladicdn.com/s1950x1000/5fa2747be93b1c29f89c713f/biofitlanding8-20210413004927.png	C:/My%20Web%20Sites/biofit%20new/w.ladicdn.com/s1950x1000/5fa2747be93b1c29f89c713f/biofitlanding8-20210413004927.png	(from https://biofit-biofit.com/biofit/)
21:36:55	676097/676097	---MCZ	200	added ('OK')	image/png	date:Sun,%2018%20Apr%202021%2016:06:55%20GMT	https://w.ladicdn.com/s750x1050/5fa2747be93b1c29f89c713f/biofitlanding-20210412131138.png	C:/My%20Web%20Sites/biofit%20new/w.ladicdn.com/s750x1050/5fa2747be93b1c29f89c713f/biofitlanding-20210412131138.png	(from https://biofit-biofit.com/biofit/)
21:36:56	157543/157543	---MCZ	200	added ('OK')	image/png	date:Sun,%2018%20Apr%202021%2016:06:56%20GMT	https://w.ladicdn.com/s750x550/5fa2747be93b1c29f89c713f/biofitlanding4-20210413003543.png	C:/My%20Web%20Sites/biofit%20new/w.ladicdn.com/s750x550/5fa2747be93b1c29f89c713f/biofitlanding4-20210413003543.png	(from https://biofit-biofit.com/biofit/)
21:36:56	207277/207277	---MCZ	200	added ('OK')	image/png	date:Sun,%2018%20Apr%202021%2016:06:57%20GMT	https://w.ladicdn.com/s750x700/5fa2747be93b1c29f89c713f/biofitlanding5-20210413003904.png	C:/My%20Web%20Sites/biofit%20new/w.ladicdn.com/s750x700/5fa2747be93b1c29f89c713f/biofitlanding5-20210413003904.png	(from https://biofit-biofit.com/biofit/)
21:36:57	63924/63924	---MCZ	200	added ('OK')	image/png	date:Sun,%2018%20Apr%202021%2016:06:58%20GMT	https://w.ladicdn.com/s750x500/5fa2747be93b1c29f89c713f/biofitlanding6-20210413004453.png	C:/My%20Web%20Sites/biofit%20new/w.ladicdn.com/s750x500/5fa2747be93b1c29f89c713f/biofitlanding6-20210413004453.png	(from https://biofit-biofit.com/biofit/)
21:36:59	131601/131601	---MCZ	200	added ('OK')	image/png	date:Sun,%2018%20Apr%202021%2016:06:59%20GMT	https://w.ladicdn.com/s750x600/5fa2747be93b1c29f89c713f/biofitlanding7-20210413004712.png	C:/My%20Web%20Sites/biofit%20new/w.ladicdn.com/s750x600/5fa2747be93b1c29f89c713f/biofitlanding7-20210413004712.png	(from https://biofit-biofit.com/biofit/)
21:37:00	174241/174241	---MCZ	200	added ('OK')	image/png	date:Sun,%2018%20Apr%202021%2016:07:00%20GMT	https://w.ladicdn.com/s750x500/5fa2747be93b1c29f89c713f/biofitlanding8-20210413004927.png	C:/My%20Web%20Sites/biofit%20new/w.ladicdn.com/s750x500/5fa2747be93b1c29f89c713f/biofitlanding8-20210413004927.png	(from https://biofit-biofit.com/biofit/)
21:37:01	755/755	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Apr%202021%2002:52:11%20GMT	https://biofit-biofit.com/biofit/biofit-biofit-biofit.html	C:/My%20Web%20Sites/biofit%20new/biofit-biofit.com/biofit/biofit-biofit-biofit.html	(from https://biofit-biofit.com/biofit/)
21:37:03	819/819	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Apr%202021%2002:17:02%20GMT	https://biofit-biofit.com/biofit/biofit-pay1.html	C:/My%20Web%20Sites/biofit%20new/biofit-biofit.com/biofit/biofit-pay1.html	(from https://biofit-biofit.com/biofit/)
21:37:03	820/820	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Apr%202021%2002:17:55%20GMT	https://biofit-biofit.com/biofit/biofit-pay6.html	C:/My%20Web%20Sites/biofit%20new/biofit-biofit.com/biofit/biofit-pay6.html	(from https://biofit-biofit.com/biofit/)
21:37:03	820/820	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Apr%202021%2002:18:35%20GMT	https://biofit-biofit.com/biofit/biofit-pay3.html	C:/My%20Web%20Sites/biofit%20new/biofit-biofit.com/biofit/biofit-pay3.html	(from https://biofit-biofit.com/biofit/)
21:37:04	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Apr%202021%2016:07:04%20GMT	https://biofit-biofit.com/biofit/%22https://www.youtube.com/embed/BnWiFq0AxQc?enablejsapi=1&&autoplay=0&modestbranding=0&controls=0&showinfo=0&rel=0&hd=1&wmode=transparent&enablejsapi=1&ytp-pause-overlay=0%22	C:/My%20Web%20Sites/biofit%20new/biofit-biofit.com/biofit/_https_/www.youtube.com/embed/BnWiFq0AxQce926	(from https://biofit-biofit.com/biofit/)
21:37:04	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Apr%202021%2016:07:04%20GMT	https://biofit-biofit.com/a/images/loading.gif	C:/My%20Web%20Sites/biofit%20new/biofit-biofit.com/a/images/loading.gif	(from https://biofit-biofit.com/biofit/)
21:37:05	66804/66804	---MCZ	200	added ('OK')	text/css	date:Sun,%2018%20Apr%202021%2016:07:05%20GMT	https://w.ladicdn.com/v2/source/ladipage.min.css?v=1618222921141	C:/My%20Web%20Sites/biofit%20new/w.ladicdn.com/v2/source/ladipage.minba6a.css	(from https://biofit-biofit.com/biofit/)
21:37:07	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2018%20Apr%202021%2016:07:08%20GMT	https://static.ladipage.net/5fa2747be93b1c29f89c713f/rbg/best-seller-logo-png-clip-art-20210305001547.png	C:/My%20Web%20Sites/biofit%20new/static.ladipage.net/5fa2747be93b1c29f89c713f/rbg/best-seller-logo-png-clip-art-20210305001547.17.delayed	(from https://biofit-biofit.com/biofit/biofit-mobile.html)
21:37:12	577796/577796	---MC-	200	added ('OK')	image/png	date:Sun,%2018%20Apr%202021%2016:07:11%20GMT	https://w.ladicdn.com/s1300x1200/5fa2747be93b1c29f89c713f/biofitmobile1-20210415024606.png	C:/My%20Web%20Sites/biofit%20new/w.ladicdn.com/s1300x1200/5fa2747be93b1c29f89c713f/biofitmobile1-20210415024606.png	(from https://biofit-biofit.com/biofit/biofit-mobile.html)
21:37:12	11758/11758	---MC-	200	added ('OK')	image/png	date:Sun,%2018%20Apr%202021%2016:07:13%20GMT	https://w.ladicdn.com/s550x400/5fa2747be93b1c29f89c713f/add-to-cart3-red-20210415024934.png	C:/My%20Web%20Sites/biofit%20new/w.ladicdn.com/s550x400/5fa2747be93b1c29f89c713f/add-to-cart3-red-20210415024934.png	(from https://biofit-biofit.com/biofit/biofit-mobile.html)
